CATÁLOGO DE VÁLVULAS 3B 2024,,,,,,,,,,,,,,,,,,,,
"Motor 
Engine","Aplicación 
Application","Cil 
Cyl","D
G","Nº 3B 
3B P/N","Sup Vast.   
Stem Over Size.","Ø Vástago     
Stem","Ø Cabeza      
Head","Largo Total 
Length",º,TIPO CHAV,CAB,#OE,#OE,#OE,#OE,#OE,#OE,#MORESA,#EDIVAL,
,,,,4293-ECP,STD.,6.925,25.8,121.88,45º,4,E,BK2Q6505BB,949000,,,,,,21235 E,
2.3 Lts. 16v. Motor F1A,Ducato Multijet,4,D,4112-AC,STD.,5.993,30,120.4,45º,4,A,500362855,504069199,,,,,,,
,,,,4113-ECB,STD.,5.983,30,120.4,45º,4,A,500362856,504378070,,,,,,,
"8140.47
2.8 Lts. / 2.5 Lts.  - 1990~",Ducato Maxi TD 34 / 49 / 59.12 / New Daily TD,4,D,3586-ACB,STD.,7.99,43.5,122,30º,2,C,98468338,,,,,,,22087 A,
,,,,3587-ECB,STD.,7.985,36.5,122,45º,2,C,98418161,,,,,,,22087 E,
,,,,4041-ECB,STD.,7.993,35.9,121.95,45º,2,A,99432837,0949 A0,50 01 836 573,,,,,22183 E,
"8140.61-  2.5 Lts.
8140.23 / 43 -  2.8 Lts. - 1986~","Daily / Ducato / New Daily TD
Aspirado y Turbo",4,D,3510-ACB,STD.,7.993,40.87,120.75,30º,2,C,7301820,0948 A2,504069200,7701030863,7701462678,7701463603,,22083 A,
,,,,3511-ECB,STD.,7.993,34.4,122,45º,2,C,7301821,4826033,,,,,,22083 E,
4 CILINDROS 16V 2.8 LTS TURBO INTERCOOLER,IVECCO DAILY F1C,4,D,4246-AC,STD.,5.993,32.4,119.95,30º,4,E,5040725311,,,,,,,,
,,,,4247-EC,STD.,5.983,32.4,119.95,30º,4,C,5040810621,,,,,,,,
"8040.05 / 25 4.0 Lts.
8060.05  6.0 Lts.  -  1987~",150 E20 / 160 E23 / Eurocargo - Intercooler,4 / 6,D,3324-AC,STD.,7.993,45.4,125.75,30º,2,E,99432652,500300570,1908408,4784888,,,,,
,,,,3325-ECB,STD.,7.993,37.65,125.75,45º,2,E,99432717,500300595,1904666,478488,,,,,
"L6 - ISB ""B"" Electrónico 260/300 -  359 - 5,9 / 3,9 Lts. - 24V - Turbo - 1998 al 2004"," 

Iveco Tector Eurocargo ",4 / 6,D,3976-AC,STD.,7,33,124.65,30º,2,A,3940735,3802924,,,,,,2074 A,Upgrade
,,,,3977-ECB,STD.,7,33,124.28,45º,2,A,3940734,3802967,6802237AA,,,,,22074 E,
,,,,4199-ECB,STD.,7,33,124.25,45º,2,A,68002237AA, , ,,,,,,
,,,,4199-ECB,0.1,7,33,124.3,45º,2,A,68002237AA, , ,,,,,,
11.0 Lts.,FNM D11000,6,D,3698-A,STD.,11.941,59.45,176.45,30º,9,C,,,,,,,,,
,,,,3699-E,STD.,11.941,51,176.45,45º,9,C,,,,,,,,,
"8210.02 / 8210.12 / 8210.42
14.0 Lts.  1970~","Series 160 / 330 / 619 / N1
421 A/AL
190 / 440 E42 Euro Star",6,D,286-AC,STD.,10.99,58.9,169.9,45º,2,A,4683025,,,,,,,,
,,,,1286-ECB,STD.,10.991,48.85,170,45º,2,A,4683026, ,,,,,,,
FIAT CURSOR 9  ,"  180 EuroTrakker /
190 EuroMover / EuroTech / Stralis 450S33T / 460S36T / 500S33T / 530S36T",4 / 6,D,4110-AC,STD.,7.977,40,174.4,30º,2,A,500354085,, ,,,,,,
8.7 Lts.,,,,4111-ECB,STD.,7.977,39,173.3,45º,2,A,504078218,,,,,,,,
,,,,4111-ECX 30,STD.,7.977,39,173.3,45º,2,A,,,,,,,,,
Iveco Cursor 13                               , Mod. Stralis ,6,,4094-AC,Std,9.967,47,199.3,30º,2,C,500355788,,,,,,,,
  12.9 Lts. 24v.,Trakker,,,4095-ECB,Std,9.967,46,198.1,45º,2,C,504080788,,,,,,,,
Iveco Cursor 13                               , Mod. Stralis ,6,,4094-AX,Std,9.967,47,199.3,30º,2,C,,,,,,,,,
  12.9 Lts. 24v.,Trakker,,,4095-EX,Std,9.967,46,198.1,45º,2,C,,,,,,,,,
/ 190 E 42 / 240 E 42 / 440 E 42 / 440 E 47 /  380 E 37 / 410 E 37 / 410 E 42 (190.30 / 170.30 )- 1995 al 2006,Euro Tech / Euro Star  Euro Trukker / (1 Resorte - 1 Spring) ,6,D,3920-AC,STD.,10.99,57.4,169.9,30º,2,A,98478407,,,,,,,2088 A,
,,,,3921-ECB,STD.,10.98,47.88,169.9,45º,2,A,98474604,4673861,,,,,,22084 E,
"L6, (5.9 LTS.), 5882 C.C., 24 VALVE, TURBO, NEF6",TECTOR PERMIUM / TECTOR ATTACK / ,6,D,4768-AN,STD.,7,33,124.65,60,2,A,,,,,,,,,
,,,,4769-EN,STD.,7,33,124.3,45º,2,A,,,,,,,,,
,FIAT TRACTORES,,,,,,,,,,,,,,,,,,,
451 FL 4 -  1957-66,U25 / 411RC - 451 FL4,2 / 4,D,513-A,STD.,8.993,39.4,131.1,45º,14,A,561286,,,,,,,3012 A,
,,,,514-E,STD.,8.993,34.4,131.1,45º,14,A,564757,,,,,,,3012 E,
CO1D  -  1959-68,Someca M45 / M50 / Super SON 55,4,D,540-A,STD.,7.93,38,171,45º,9,D,8504782,,,,,,,,
,,,,541-E,STD.,7.93,34,171,45º,9,A,8404783,,,,,,,,
450  -  1965-69,450 R,4,D,544-A,STD.,7.93,34.2,171.6,45º,9,D,8300314,,,,,,,,
,,,,545-E,STD.,7.93,31.2,171.2,45º,9,A,8300387,,,,,,,,
60R  -  1955-62,60R,4,D,517-A,STD.,10.995,51,160,45º,8,A,555324,,,,,,,,
,,,,518-E,STD.,10.995,45,160,45º,8,A,555325,,,,,,,,
CN3 / CP3 - 1968,400 R Viñatero / 500 / 900 / 1100,4,D,519-A,STD.,7.95,42.85,137.75,45º,2,D,8823548,,,,,,,,
,,,,520-E,STD.,7.952,36.35,137.75,45º,2,A,8823549,,,,,,,,
OM 513  -  1967-71,615 / 615 DT / 650 / 700R,4,D,523-A,STD.,7.93,40.85,171,45º,8,D,8806875,,,,,,,3026 A,
,,,,524-E,STD.,7.93,35.85,171,45º,8,A,8806876,,,,,,,3026 E,
1962-71,780R / 780,4,D,521-A,STD.,10.99,50.9,160.1,45º,2,A,580605,578911,,,,,,3015 A,
,,,,522-E,STD.,10.99,45,160.2,45º,2,A,580606,578912,,,,,,3015 E,
5.4 Lts. - 5.8 Lts.  -  1971-76,80C / 90C / 700E / 800,4 / 6,D,547-A,STD.,7.952,48.4,137.65,45º,2,D,8824754,,,,,,,,
,,,,548-E,STD.,7.952,40.9,137.7,45º,2,A,8825776,,,,,,,,
,FORD,,,,,,,,,,,,,,,,,,,
"L3, (1.0 LTS.), 998 C.C., 12 VALVE, EURO 5,6, ECOBOOST",B-MAX / FOCUS III FURGON / FOCUS III SEDAN / FOCUS III TURNIER / FOCUS III / ,3,G,4642-AN,STD.,4.965,27,96.2,45º,4,C,CM5Z6507A ,,,,,,,,
,,,,4643-EN,STD.,4.955,22.8,98,60,4,C,"E3BZ6505B_x000D_
E3BG6505BB ",,,,,,,,
"L3, (1.5 LTS.), 1496 C.C., 12 VALVE,  TIVCT, EURO V",ECOSPORT / FIGO / KA SEDAN / KA / ,3,G,4773-AN,STD.,5.44,34,99.10000000000001,45º,4,C,,,,,,,,,
,,,,4774-EN,STD,5.43,28.5,107.15,46º,4,C,,,,,,,,,
1.0 Lts. - Zetec Rocam  ,Fiesta / KA / Courier ,4,G,3062-AC,STD.,5.975,32.5,111.1,45º,4,C,XS6E6507AA,,,,,,,1136 A,Suitable for CNG             --------            Apto GAS
,,,,3063-ECB,STD.,5.965,28,110.65,45º,4,C,XS6E-6505-AB,,,,,,,21136 E,
1250 cc ZETEC 16 V.,FIESTA 1250 cc ,4,G,4078-AC,STD.,5.968,26,97.65,45º,4,C,96MM6507B1A,,,,,,,,
,,,,4079-EN,STD.,5.961,22,99.7,45º,4,E,96MM6505B1A,,,,,,,,
1.0 Lts. -  HCS - 1989,Fiesta / Escort,4,G,3052-AC,STD.,7.03,33,104,45º,4,C,89BM6507AA,,,,,,,1232 A,Suitable for CNG             --------            Apto GAS
1.3 Lts. -  1997,KA,,,3054-AC,STD.,7.03,34.5,104,45º,4,C,89BM6507BA,,,,,,,1132 A,
,,,,3054-AC,.005,7.157,34.5,104,45º,4,C,89BM6507BA,,,,,,,1132 A,
"1.0 Lts. - 8V. - HCS
1989 Endurra - 1.3 Lts. - 1997",KA / Fiesta / Escort,,,3053-ECB,STD.,7,29,104.25,45º,4,E,97BM6505AA,,,,,,,21132 E,
,,,,3053-ECB,.005,7.127,29,104.25,45º,4,E,97BM6505AA,,,,,,,21132 E,
79  -  1.3 Lts. - B3 - 1994-97,Festiva,4,G,3060-AC,STD.,6.97,32,105.16,45º,2,C,E8BZ6507A,F4BZ6507A,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3061-ECP,STD.,6.947,28.02,104.65,45º,2,C,E8BZ6505A,F4BZ6505A,,,,,,,
1.3lt TDI 16v.,Ka,4,D,4382-AC,STD,5.985,21.9,109.3,45º,4,A,46518930,,,,,,,,
,,,,4383-EC,STD,5.975,21.9,109.2,45º,4,A,93190438,,,,,,,,
DV4TD - 1.4 Lts.  -  (2001),Fiesta / Eco Sport,4,D,3844-AC,STD.,5.475,32.8,97.3,45º,4,E,9643767480B,,,,,,,1420 A,
,,,,3845-ECB,STD.,5.47,30.32,97.45,45º,4,A,9643767580B,,,,,,,21420 E,
1.3 Lts. - 1.6 Lts.   CHT - 1982~,Corcel II ,4,G,3036-A,STD.,6.985,32.35,95.6,45º,8,C,84AU6507A,,,,,,,6069 AGNC,
,Corcel II / Berlina / Del Rey,,,3038-A,STD.,6.975,32.35,89.6,45º,8,C,BEOM6507A,,,,,,,,
,Corcel II ,,,3037-EP,STD.,6.965,28.35,96.15,45º,9,C,84AU6505A,,,,,,,26069 EGNC,
"1.4 Lts.   -  16V  Zetec
1997",Fiesta / KA / Courier ,4,G,3064-AC,STD.,5.965,28.1,97.4,45º,4,C,97MM-6507-B2B,97MM-6507B2B,,,,,V-9587,1137 AGNC,Suitable for CNG             --------            Apto GAS
,,,,3065-EN,STD.,5.955,24.1,99.5,45º,4,C,XS6E-6505-B2A,XS6E-6505B2A,,,,,S-7258,21137 EGNC,
1.4 Lts. -  16V,Fiesta,4,G,3090-AC,STD.,5.97,28,97.35,45º,2,C,1012749,,,,,,,1237 AGNC,Suitable for CNG             --------            Apto GAS
,,,,3091-ECB,STD.,5.961,24,99.4,45º,2,C,1012747,,,,,,,21237 E,
1.4 Lts. - 1.6 Lts. -  OHC - 1982~,Corcel / Del Rey,4,G,326-A,STD.,6.973,37.9,89.6,45º,9,C,78MU-6507A,,,,,,,,
,,,,1326-E,STD.,6.95,28.3,89.3,45º,9,C,78MU-6505B,,,,,,,26051 E,
,,,,1326-E,.015,7.331,28.3,89.3,45º,9,C,78MU-6505B,,,,,,,26051 E,
1.6 Lts. - 1970-79,Taunus / Sierra / Escort / Transit FT,4,G,310-AC,STD.,8.034,42,113.15,45º,4,C,70HM-6507AE,,,,,,,1098 AGNC,Suitable for CNG             --------            Apto GAS
,,,,310-AC,.005,8.161,42,113.15,45º,4,C,70HM-6507AE,,,,,,,1098 AGNC,
,,,,310-AC,.010,8.288,42,113.15,45º,4,C,70HM-6507AE,,,,,,,1098 AGNC,
,,,,1310-ECB,STD.,8.008,32,112.55,45º,4,E,84HM-6505AA,,,,,,,21098 EGNC,
,,,,1310-ECB,.005,8.135,32,112.55,45º,4,E,84HM-6505AA,,,,,,,21098 EGNC,
,,,,1310-ECB,.010,8.262,32,112.55,45º,4,E,84HM-6505AA,,,,,,,21098 EGNC,
1.6 Lts. (98)  - 1981-83,Escort LX / Wagon,4,G,313-AC,STD.,8.026,42.04,134.77,45º,4,C,E1EE-6507EA2A,,,,,,S-7206,,Suitable for CNG             --------            Apto GAS
,,,,313-AC,.003,8.102,42.04,134.77,45º,4,C,E1EE-6507EA2A,,,,,,S-7206,,
,,,,313-AC,.015,8.407,42.04,134.77,45º,4,C,E1EE-6507EA2A,,,,,,S-7206,,
,,,,1313-ECP,STD.,8.014,37.03,131.83,45º,4,C,E1EE-6505-AA,,,,,,S-9822,21606-E,
1.6 Lts. -  CHT  -  1983,Escort / Berlina II / Del Rey / Corcel II,4,G,814-AC,STD.,6.979,36.4,97.3,45º,9,C,84AU-6507-B,,,,,,,1187 A,Suitable for CNG             --------            Apto GAS
,,,,1814-ECP,STD.,6.969,28.4,96.17,45º,9,A,84AU-6505A,,,,,,,21187 E,
1.6 Lts. TDCI DIESEL 16V,Ford Focus C-MAX / Fiesta / Fusion,4,D,4008-AC,STD.,5.478,25.6,96.44,45º,4,E,0948C7,3M5Q 6505 AA,,,,,V-7175,1419 A,
,,,,4009-ECB,STD.,5.468,23.4,96.6,45º,4,A,0949C3,3M5Q 6505 AA,,,,,S-7176,21419 E,
1.6 Lts.  CHT,Escort ,4,G,816-AC,STD.,6.979,36.4,96.2,45º,9,C,035109601C,035109601D,035109601F,,,,,,
,,,,1815-EB,STD.,7.937,33.15,98.45,45º,4,E,,,,,,,S-9599,21104-E,
DV6C - 1.6 Lts. HDI 16v,"Fiesta VI / Focus III / Focus C-Max / 
Galaxy II / Mondeo IV",4,D,4372-AC,STD,5.478,30.15,95.6,45º,4,C,968307298A,,,,,,,,
,,,,4373-EC,STD,5.468,27.5,95.5,45º,4,C,968307308A,,,,,,,,
"1.6 Lts. - 16V
Zetec  -  DOHC -  1992",Mondeo / Fiesta / Escort ,4,G,3082-AC,STD.,6.035,26,97.1,45º,2,E,928M6507C1C2A,,,,,,,1138 AGNC,Suitable for CNG             --------            Apto GAS
,,,,3083-ECB,STD.,6.015,24.5,96.7,45º,2,E,948M6505A2A,,,,,,,21138 E,
1.6 Lts. - 16V Zetec-E   -   1997~,Mondeo / Fiesta / Escort,4,G,3084-AC,STD.,6.035,26,97.1,45º,4,E,928M6507E2A,,,,,,,1238 AGNC,Suitable for CNG             --------            Apto GAS
,,,,3085-ECB,STD.,6.015,24.5,96.7,45º,4,E,948M-6505-C2A,,,,,,,,
FYDA - L4 - 1.6lt. 16v,Fiesta Kinetic Design / C-Max /  Fiesta V ,4,G,4344-AN,STD,5.97,30.1,99,45º,4,C,1S4G6507CA, ,,,,,V-7205,,
FYJB/ FYJA/ HWDA/ HWDB/ FYDB/ FYDC,,,,,,,,,,,,,,,,,,,,
FYDD/ FYDG/FYDH/ FYJA/ PNBA/ RHBA,Mondeo / Fusión / Puma / Focus III (Europa) /,,,4345-EN,STD,5.96,24.1,101.5,45º,4,E,1S6G6505BA,,,,,,S-7206,,
,,,,,,,,,,,,,,,,,,,,
1.6 Lts. - 8V  -  Zetec Rocam,Fiesta / Mondeo / Eco Sport,4,G,3092-AC,STD.,5.976,40,109.6,45º,4,C,,,,,,,,1566 A,Suitable for CNG             --------            Apto GAS
,,,,3093-ECB,STD.,5.966,34,109.82,45º,4,C,,,,,,,,,
"1.6 Lts. - 1.8 Lts.  AP inx
1988~",Escort / Galaxi ,4,G,3312-A,STD.,7.958,37.95,90.96,45º,4,E,026109601F, 048109601A, ,,,,V-9598X,1204 AGNC,
,,,,3238-A,STD.,7.963,37.95,91.85,45º,4,A,035 109 601 J,035 109 601 K,,,,,V-9747X,,
,,,,23238-EB,STD.,7.942,33.15,91.2,45º,4,E,,,,,,,S-9748,21605-E,
1.8 Lts. - 1989-1992  - TDI,Escort / Fiesta / Orion / Sierra / Courier,4,D,3040-AC,STD.,7.963,36.55,107.1,45º,4,A,89FF-6507AA,,,,,,,21564 A,
,,,,3040-AC,0.03,8.039,36.55,107.1,45º,4,A,89FF-6507AA,,,,,,,21564 A,
,,,,3040-AC,.005,8.09,36.55,107.1,45º,4,A,89FF-6507AA,,,,,,,21564 A,
,,,,3040-AC,.010,8.217,36.55,107.1,45º,4,A,89FF-6507AA,,,,,,,21564 A,
,,,,3040-AC,.015,8.344,36.55,107.1,45º,4,A,89FF-6507AA,,,,,,,21564 A,
,,,,3041-ECB,STD.,7.953,32.05,109.2,45º,4,A,89FF-6505AA,,,,,,,21564 E,
,,,,3041-ECB,.005,8.08,32.05,109.2,45º,4,A,89FF-6505AA,,,,,,,21564 E,
,,,,3041-ECB,.010,8.207,32.05,109.2,45º,4,A,89FF-6505AA,,,,,,,21564 E,
,,,,3041-ECB,.015,8.334,32.05,109.2,45º,4,A,89FF-6505AA,,,,,,,21564 E,
"1.8 Lts. - 2.0 Lts. SOHC
1972-78",Courier MA / VB / VC / NA - Motor Mazda,4,G,468-A,STD.,8.03,42.03,108.6,45º,2,C,0290-12-111,,,,,,,5304 A,
,,,,1468-ECP,STD.,8.03,33,107,45º,2,A,0305-12-121/A,,,,,,,25304 E,
AP 2000  Carb  1996~      ,Escort Versailles,4,G,3602-A,STD.,7.96,39.95,98.65,45º,4,C,026109601D,,,,,,,1134 AGNC,
AP 1800  Carb - AP 2000  Carb,Escort / Galaxy ,,,1815-EB,STD.,7.937,33.15,98.45,45º,4,E,,,,,,,S-9599,21104-E,
AP 1800  Carb - AP 2000  Carb,,,,815-AC,STD.,7.962,37.95,98.65,45º,4,C,,,,,,,,1104 AGNC,Suitable for CNG             --------            Apto GAS
,,,,1815-EGX,STD.,7.937,33.15,98.45,45º,4,E,035 109 611F,035 109 611H,,,,,,21104 EGNC,
1.8 Lts. - 2.0 Lts.  Zetec - 16V - 1991-92,Fiesta / Orion / Mondeo / Escort / Sierra / Escape,4,G,3066-AC,STD.,6.035,32,97.05,45º,4,C,928M6507F2A,,,,,,,1233 AGNC,Suitable for CNG             --------            Apto GAS
,,,,3067-ECB,STD.,6.015,28,96.7,45º,4,C,,,,,,,S-7034,21233-E,
"1,9 lts. TDI","Galaxy 1,9 lts. TDI",4,D,4082-A,STD.,6.98,35.85,89.85,45º,4,A,038109601B,,,,,,V-7093,1196 A,
,,,,4083-EX,STD.,6.963,31.5,89.65,45º,4,A,038109611B,038109611F,,,,,S-7094,21296 E,
"Ford 1.9 Lts 87 al 86
Motor 116 C.I., (1.9L), SOHC, Nafta, CARB / FI, 8V Vin 9 / 9J","
Ford Escort 1987-1996 EXP 1987-1988
 Mercury Lynx 1987 / Tracer 1991-1996 ",4,G,4212-AC,STD.,8.034,39,136.75,45º,5,C,E7EE6507B2A,E7FZ6507A,E7FZ6507B,,,,,,
,,,,4213-ECB,STD.,8.006,34,133.9,45º,5,C,E7EE6505B2A,E7EE6505B2D,E7FZ6505A,,,,,,
1RFT L4 2.0lt. 16v,Testar,4,D,4416-A,STD,7.968,39.4,106.6,60º,2,E,D27Z6507A,,,,,,,,
,,,,4417-EN,STD,7.967,35,106.6,45º,2,E,D27Z6505A, ,,,,,,,
2.0 Lts. (121)  Zetec  -  16V - 1992-02,Escort / Mondeo / Orion / Contour / Mystique ,4,G,3068-AC,STD.,6.045,31.9,97.05,45º,2,C,928M6507D1A,6640543,,,,,,1133 AGNC,Suitable for CNG             --------            Apto GAS
,,,,3069-ECB,STD.,6.015,28,96.7,45º,2,C,928M6505D2A,6640542,,,,,,21133 EGNC,
"2.0 Lts.   L4   DOHC
16V  1996-00",Mystique / Countour,4,G,3056-A,STD.,6.038,32,97.11,45º,2,C,,,,,,,V-9741X,,
,,,,3057-E,STD.,6.02,27.96,96.73,45º,2,C,,,,,,,S-9742,,
"DW10BTED4 / HDI / DW12TED4 / TDCI 
L4 2.0lt. - 16v","Focus / C-Max II / Galaxy /
 Kuga / Mondeo",4,D,4456-AC,STD,5.97,30,105,45º,4,A,0948A3,,,,,,,,
,,,,4457-ECB,STD,5.97,25,105,45º,4,A,0949A3,,,,,,,,
120  -  2.0 Lts.   1996-00,Ford Focus / Escort ,4,G,3096-AC,STD.,8.034,44.06,133.47,45º,4,C,F6CE6507CB,F6CE6507EA,F7CZ6507CB,,,,V-9903,,Suitable for CNG             --------            Apto GAS
  122 C.I.  - 2.0 Lts.  SOHC  - 8V. - 1997/01 ,,,,3651-EC,STD.,8.011,37,130.05,45º,4,C,F6CE6505BA,YS4Z6505AA,,,,,S-9904,,
122  -  2.0 Lts. - 1970-85,Taunus / Sierra / Scorpio / Escort / Transit / Ranger,4,G,3015-AC,STD.,8.035,42,111.1,45º,4,C,70HM-6507-D3C,,,,,,,,
,,,,23015-ECP,STD.,8.01,36,110.55,45º,4,C,70HM-6505-DF,,,,,,,,
"2.0 Lts. - 2.2 Lts.
R2 /  RF     1983~",Econovan - Motor Mazda,4,D,3298-AN,STD.,7.983,41.1,107.9,45º,2,A,  E43Z6507D, ,,,,,,1145 A,
,,,,3299-EN,STD.,7.978,36,107.65,45º,2,A,  E43Z6505E,,,,,,,21145 E,
140   -   2.3 Lts.   -   2.0 Lts.   -    1974-97,Taunus / Mustang / Thunderbird / Maverick / Courier / Ranger / Aerostar SOHC,4,G,291-AC,STD.,8.685,44.1,121.6,45º,5,C,D4ZE6507AD,DAFZ6507A,D6EE6507AA,,,,V-9587,1074 AGNC,Suitable for CNG             --------            Apto GAS
,,,,291-AC,.003,8.761,44.1,121.6,45º,5,C,D4ZE6507AD,DAFZ6507A,D6EE6507AA,,,,V-9587,1074 AGNC,
,,,,291-AC,.005,8.812,44.1,121.6,45º,5,C,D4ZE6507AD,DAFZ6507A,D6EE6507AA,,,,V-9587,1074 AGNC,
,,,,291-AC,.010,8.939,44.1,121.6,45º,5,C,D4ZE6507AD,DAFZ6507A,D6EE6507AA,,,,V-9587,1074 AGNC,
,,,,291-AC,.015,9.066,44.1,121.6,45º,5,C,D4ZE6507AD,DAFZ6507A,D6EE6507AA,,,,V-9587,1074 AGNC,
,,,,1291-ECP,STD.,8.672,38.1,122.1,45º,5,C,D42E6505AD,D43Z6505A,D4TE6505AD,,,,S-9588,21078 EGNC,
,,,,1291-ECP,.003,8.748,38.1,122.1,45º,5,C,D42E6505AD,D43Z6505A,D4TE6505AD,,,,S-9588,21078 EGNC,
,,,,1291-ECP,.005,8.799,38.1,122.1,45º,5,C,D42E6505AD,D43Z6505A,D4TE6505AD,,,,S-9588,21078 EGNC,
,,,,1291-ECP,.010,8.926,38.1,122.1,45º,5,C,D42E6505AD,D43Z6505A,D4TE6505AD,,,,S-9588,21078 EGNC,
,,,,1291-ECP,.015,9.053,38.1,122.1,45º,5,C,D42E6505AD,D43Z6505A,D4TE6505AD,,,,S-9588,21078 EGNC,
140 / 153  -  1985-98,Aerostar / Ranger - 2.3 / 2.5 SOHC,4 / 6,G,3070-AC,STD.,6.985,44.07,121.6,45º,4,C,F57Z6507A,F57Z6507BB,,,,,V-7137,1274 A,Suitable for CNG             --------            Apto GAS
,,,,3071-ECP,STD.,6.959,38.1,122.1,45º,4,C,F57Z6505BB,F57Z6505A,,,,,,21274 E,
"Zetec - 16V. 1,6-1,8-2,0 Lts. - (2001)",Mondeo / Focus / Escort,4,G,3814-AC,STD.,6.036,33,98.1,45º,4,C,XS7E-6507-N2A,,,,,,,1333 A,
,,,,3815-ECB,STD.,6.018,28,97.65,45º,4,C,XS7E-6505-N2A,,,,,,,,
2.5 Lts.  -  1928-32,A-AA / B-BB,4,G,183-AE,STD.,7.9,39.3,145.5,45º,12,A,,,,,,,,1019 AE,
D4FA - 2.4lt. - L4 - 16v,Transit FT 300M / Van / Flatbed,4,D,4340-AN,STD,6.935,31.3,122.3,30º,4,C,1096250,,,,,,,,
,,,,4341-EN,STD,6.925,27.8,122.3,45º,4,C,1096248,,,,,,,,
2.5 Lts,Ford Kuga,5,G,4386-A,STD,5.97,31,104.3,45º,4,A,1397641,,,,,,V-7285,,
,,,,4387-E,STD,5.96,27,103,45º,4,A,1366490,,,,,,S-7286,,
2.5 Lts. - 1984~,Transit - Aspirado 2.5,4,D,3058-A,STD.,8.953,42.05,124.4,30º,4,A,894F6507A1B,,,,,,,1131 A,
,,,,3059-E,STD.,8.935,36.4,123.86,45º,4,A,894F6505A1B,,,,,,,21131 E,
2.5 Lts.  -  Maxion Gemini HS / HST,Ranger,4,D,3344-AC,STD.,7.967,38.9,116.38,30º,4,C,,,,,,,,,
,,,,23345-ECB,STD.,7.95,36.5,116.53,45º,4,C,70910054,,,,,,,22101 E,
Motor International NGD - 3.0 Lts. - e,Ranger ,4,D,3858-ACB,STD.,5.94,32,114.19,45º,4,C,70910066,,,,,,,2310 A,
,,,,3859-EBN,STD.,5.93,29,114.2,45º,4,C,,,,,,,,,
"L4, (2.0 LTS.), 16 VALVE, ECOBOOST",Edge / Escape / Fusion / MKZ,4,G,4714-AN,STD.,5.465,29.9,104.6,45º,2,C,,,,,,,,,
,,,,4715-EN,STD.,5.465,28,104.6,45º,2,E,,,,,,,S-7316,,
182 C.I. - DOHC - Duratec - 3.0 Lts. - 24V. - Año 1996 AL 2005,"Five Hunderd / Freestyle / Taurus / Escape
Lincoln (LS)
Mercury (Montego / Sable)",6,G,3990-AC,STD.,5.984,35,114.55,45º,4,C,F5DE6507AC , 7L8Z6507A, AL8Z6507A,F6DZ6507A,AJ0312111,,V-7069,,
,,,,3991-ECB,STD.,5.959,30,115.47,45º,4,C,F5DE6505AC ,F6DZ6505A,AL8Z6505A,,,,S-7070,,
"182 C.I. - 3.0 Lts. - OHV, FLEX, - 12V. Vin U - V - Vulcan - Año 2000-2007","Ranger / Taurus / Windstar
MERCURY (Sable)",6,G,3992-AC,STD.,6.985,42.2,117.7,45º,4,C,YF1Z6507BA,,,,,,,,
,,,,3993-ECB,STD.,6.96,34.8,117.22,45º,4,C,YF1Z6505BA,,,,,,S-7022,,
144  -  1960-64,Ford 144,6,G,3034-A,STD.,7.874,37.3,108.2,45º,8,A,CODE-6507A,,,,,,,,
,,,,1190-E,STD.,7.86,32.2,108.25,45º,6,A,C0DE-6505A,,,,,,S-2306,21022 E,
153  -  2.5 Lts. -  V6 - 1995-00 - 24V,Contour / Mystique / Mondeo,6,G,3086-A,STD.,5.984,32,114.8,45º,4,C,,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3087-ECB,STD.,5.96,26,115.5,45º,4,C,F5RZ-6505-D,,,,,,S-9744,,
170 / 200  -  1960-69,Falcon / Fairlane / Fairmont / Granada 4B,6,G,189-A,STD.,7.88,39,108.5,45º,6,A,C1DE-6507A,,,,,,V-2342,1022 A,
,,,,189-A,.003,7.956,39,108.5,45º,6,A,C1DE-6507A,,,,,,V-2342,1022 A,
,,,,189-A,.005,8.007,39,108.5,45º,6,A,C1DE-6507A,,,,,,V-2342,1022 A,
,,,,1190-E,STD.,7.86,32.2,108.25,45º,6,A,C0DE-6505A,,,,,,S-2306,21022 E,
,,,,1190-E,.015,8.241,32.2,108.25,45º,6,A,C0DE-6505A,,,,,,S-2306,21022 E,
"170 / 187 / 200 / 250
1965-76",Fairmont / Falcon / Granada / Maverick,6,G,191-A,STD.,7.88,41.91,108.2,45º,6,E,D5DZ6507A,D2DZ6507E,,,,,V-9667,1045 A,
,,,,191-A,.003,7.956,41.91,108.2,45º,6,E,D5DZ6507A,D2DZ6507E,,,,,V-9667,1045 A,
,,,,191-A,.005,8.007,41.91,108.2,45º,6,E,D5DZ6507A,D2DZ6507E,,,,,V-9667,1045 A,
,,,,191-A,.015,8.261,41.91,108.2,45º,6,E,D5DZ6507A,D2DZ6507E,,,,,V-9667,1045 A,
,,,,1192-E,STD.,7.86,35.3,108.2,45º,6,A,C9DZ-6505A,,,,,,S-9665,21045-E,
,,,,1192-E,.003,7.936,35.3,108.2,45º,6,A,C9DZ-6505A,,,,,,S-9665,21045-E,
,,,,1192-E,.005,7.987,35.3,108.2,45º,6,A,C9DZ-6505A,,,,,,S-9665,21045-E,
,,,,1192-E,.010,8.114,35.3,108.2,45º,6,A,C9DZ-6505A,,,,,,S-9665,21045-E,
