MAHLE,EDIVAL,3B,ORIGINAL,FABRICANTE,
VA0060902,6252 A,,7004.00600500.8,AGRALE,
VA0060903,6253 A,3326 A,7006.00600500.3,AGRALE,
VA0060904,6254 A,,7007.00600500.1,AGRALE,
VC0060905,6250 AE,,7008.00600500.9,AGRALE,
VE0060323,6253 E,3327 E,7006.00600600.1,AGRALE,
VE0060906,6252 E,,7004.00600600.6,AGRALE,
VE0060907,6254 E,,7007.00600600.9,AGRALE,
VA0250168,1144 A,3736 AC,60811153,ALFA ROMEO,
VA0250500,21167 A,3316 AC,60808694,ALFA ROMEO,
VA1980840,1143 A,,60540326,ALFA ROMEO,
VA1980842,21142 A,,19536.03300.00,ALFA ROMEO,
VE0250169,21144 E,3737 ECBS,60811154,ALFA ROMEO,
VE0250501,21167 E,3317 EC,60808695,ALFA ROMEO,
VE1980841,21143 E,,60540325,ALFA ROMEO,
VE1980843,21142 E,,19510.03301.05,ALFA ROMEO,
VA3181202,501 A,,,ALPINO,
VE3181203,501 E,,,ALPINO,
VA1211172,1036 A,,3218732,AMERICAN MOTORS,
VE0090908,21037 E,,3224597,AMERICAN MOTORS,
VA0700242,1707 A,3488 AS,058 109 601 C,AUDI,
VA0700757,1219 A,3310 A,026 109 601-C,AUDI,
VA0700776,21711 A,,069 109 601 H,AUDI,
VA0700780,21927 A,3482 AB,028 109 601 H,AUDI,
VA0700784,26218 A,,068 109 601 D,AUDI,
VA0701129,21926 A,,028 109 601 A,AUDI,
VE0700243,21707 E,3489 ECBS,058 109 611 E,AUDI,
VE0700286,21711 E,3191 EB,074 109 611,AUDI,
VE0700770,21219 E,,053 109 611,AUDI,
VE0700778,21717 E,,058 109 611 M,AUDI,
VE0700781,21927 E,3483 EB,046 109 611 F,AUDI,
VE0700785,26218 E,,068 109 611 D,AUDI,
VE0701136,21926 E,,046 109 611 C,AUDI,
VA0730792,2001 A,101 A,7125556,BEDFORD,
VA0730792+08,2001 A+08,101 A+0.8,,BEDFORD,
VA0730794,2017 A,103 A,5751532-6384866,BEDFORD,
VA0730794+08,2017 A+08,103 A+0.8,,BEDFORD,
VE0730793,22001 E,1102 E,7147912,BEDFORD,
VE0730793+08,22001 E+08,1102 E+0.8,,BEDFORD,
VE0730795,22017 E,1104 EP,5754448-6366427,BEDFORD,
VE0730795+08,22017 E+08,1104 EP+0.8,,BEDFORD,
VA1400816,1950 A,457 A,1265453-1267721,BMW,
VA1400818,1951 A,,1257592,BMW,
VA1401176,1949 A,3178 A,11341727358,BMW,
VA1401177,1952 A,3448 A,1720827,BMW,
VA1401178,21953 A,,2242624,BMW,
VA1401226,1948 A,4026 AN,11341739820/822,BMW,
VE1400817,21950 E,1457 EC,1280643,BMW,
VE1400819,21951 E,,1250129,BMW,
VE1400820,21948 E,4027 EPN,11341739821/823,BMW,
VE1401179,21949 E,23179 ECBS,11341727352,BMW,
VE1401180,21952 E,3449 ECBS,1720828,BMW,
VE1401181,21953 E,,2242623,BMW,
VA0040322,21054 A,1567 ACP,20360026A,BORGWARD,
VA3200864,1033 A,252 A,E41-14-1,BORGWARD,
VA3200864+08,1033 A+08,252 A+0.8,,BORGWARD,
VA3200864+1,1033 A+1,,,BORGWARD,
VA3200866,1061 A,108 A,1113041000,BORGWARD,
VA3200866+08,1061 A+08,108 A+0.8,,BORGWARD,
VE0040322,21054 E,1567 ECBM,20370025A,BORGWARD,
VE3200865,1033 E,1253 E,E41-14-2,BORGWARD,
VE3200865+08,1033 E+08,1253 E+0.8,,BORGWARD,
VE3200865+1,1033 E+1,,,BORGWARD,
VE3200867,21061 E,1109 E,1113041100,BORGWARD,
VE3200867+08,21061 E+08,1109 E0.8,,BORGWARD,
VA0531057,4810 A,,262247,BRIGGS & STRATTON,
VE0531058,24810 E,,262246,BRIGGS & STRATTON,
VA0020136,1109 A,,412354,BUICK,
VE3211206,21108 E,,1486752,CADILLAC,
VA0391017,3080 A,,A58626,CASE,
VA0391018,3081 A,,A38422,CASE,
VA0391019,3082 A,,A58869,CASE,
VA0391020,3180 A,,A182172,CASE,
VA1961403,26082 A,,87802264,CASE,
VE0391227,23080 E,,A182173,CASE,
VE0391228,23081 E,,A38423,CASE,
VE0391229,23082 E,,A58870,CASE,
VE1961404,26082 E,,87802266,CASE,
VA0110143,3040 A,573 A,5S-6452,CATERPILLAR,
VA0110145,3053 A,,6N-9915,CATERPILLAR,
VA0110232,23077 A,3614 AC,7W-8064,CATERPILLAR,
VA0110235,2009 A,561 A,9L-7682,CATERPILLAR,
VA0110917,22010 A,1569 AP,1P-0407,CATERPILLAR,
VA0110918,23038 A,,4N-5654/2W-2622,CATERPILLAR,
VA0110919,23040 A,1573 ABS,2W-2621/7S-8809,CATERPILLAR,
VA0110920,23052 A,,1N-4885,CATERPILLAR,
VA0110921,23053 A,3210 AS,2W-2620,CATERPILLAR,
VA0110922,26283 A,,1W-1818,CATERPILLAR,
VA0110923,26285 A,,115-2368,CATERPILLAR,
VA0110926,3019 A,,7M-7358,CATERPILLAR,
VE0110142,3040 E,573 E,5S-6449,CATERPILLAR,
VE0110144,23240 E,,8N-0875,CATERPILLAR,
VE0110146,23053 E,23210 EBS,6N-9916,CATERPILLAR,
VE0110233,23077 E,3615 EC,136-0819,CATERPILLAR,
VE0110234,22009 E,1561 EB,9L-7683,CATERPILLAR,
VE0110346,23274 E,,100-4639,CATERPILLAR,
VE0110347,26284 E,,104-7184,CATERPILLAR,
VE0110930,22010 E,1569 ESS,1P-2629/8N-3725,CATERPILLAR,
VE0111231,22109 E,,9N-5125,CATERPILLAR,
VE0111232,23019 E,,9M-4163,CATERPILLAR,
VE0111233,23038 E,,7N-4580/1W-3860,CATERPILLAR,
VE0111234,23052 E,,7E-7830/8N-3725,CATERPILLAR,
VE0111237,23140 E,1573 EBS,2W-2877,CATERPILLAR,
VE0111239,26283 E,,1W-1819,CATERPILLAR,
VE0111240,26285 E,,115-2367,CATERPILLAR,
VE0111243,3053 E,,7N-0573,CATERPILLAR,
VA0111409,22108 A,,5I-7738,CATERPILLAR,
VE0111410,22108 E,,5I-7739,CATERPILLAR,
VA0111407,22280 A,,1456855,CATERPILLAR,
VE0111408,22280 E,,1456857,CATERPILLAR,
VA0111411,22281 A,, 1632442,CATERPILLAR,
VE0111412,22281 E,,1883122,CATERPILLAR,
VA3481481,1280 A,,481H-1007011BA,CHERY,
VE3481482,21280 E,,481H-1007012BA,CHERY,
VA0100328,1014 A,,868886,CHRYSLER,
VA0100330,1038 AGNC,274 A,,CHRYSLER,
"VA0100330 0,076",1038 AGNC1,274 A+3,,CHRYSLER,
"VA0100330 0,127",1038 AGNC2,274 A+5,,CHRYSLER,
"VA0100330 0,254",1038 AGNC3,274 A+10,,CHRYSLER,
"VA0100330 0,381",1038 AGNC4,274 A+15,,CHRYSLER,
"VA0100330 0,508",1038 AGNC5,274 A+20 ,,CHRYSLER,
"VA0100330 0,762",1038 AGNC6,274 A+30,2121580,CHRYSLER,
VA0100332,1063 AGNC,297 AC,,CHRYSLER,
"VA0100332 0,076",1063 AGNC1,297 AC+3,,CHRYSLER,
"VA0100332 0,127",1063 AGNC2,297 AC+5,,CHRYSLER,
"VA0100332 0,254",1063 AGNC3,297 AC+10,,CHRYSLER,
"VA0100332 0,381",1063 AGNC4,297 AC+15,,CHRYSLER,
"VA0100332 0,508",1063 AGNC5,297 AC+20,,CHRYSLER,
"VA0100332 0,762",1063 AGNC6,297 AC+30,,CHRYSLER,
VA0100335,1039 A,280 A,2465335,CHRYSLER,
"VA0100335 0,076",1039 A1,280 A+3,,CHRYSLER,
"VA0100335 0,127",1039 A2,280 A+5,2465336,CHRYSLER,
"VA0100335 0,254",1039 A3,280 A+10,,CHRYSLER,
"VA0100335 0,381",1039 A4,280 A+15,2465337,CHRYSLER,
"VA0100335 0,508",1039 A5,280 A+20,,CHRYSLER,
"VA0100335 0,762",1039 A6,280 A+30,2465338,CHRYSLER,
VA0100336,1073 A,,71301593,CHRYSLER,
"VA0100336 0,076",1073 A1,,71301594,CHRYSLER,
"VA0100336 0,127",1073 A2,,,CHRYSLER,
"VA0100336 0,254",1073 A3,,,CHRYSLER,
"VA0100336 0,381",1073 A4,,71301595,CHRYSLER,
VA0100337,1698 A,3470 AC,4648615,CHRYSLER,
VA0100338,1699 A,3500 AC,,CHRYSLER,
VA0100339,1905 A,3524 A,8933003515-53010512AA,CHRYSLER,
"VA0100339 0,076",1905 A1,,,CHRYSLER,
"VA0100339 0,381",1905 A4,,,CHRYSLER,
"VA0100339 0,762",1905 A6,,,CHRYSLER,
VA0100909,1040 A,,1859793,CHRYSLER,
"VA0100909 0,127",1040 A2,,,CHRYSLER,
"VA0100909 0,381",1040 A4,,,CHRYSLER,
"VA0100909 0,762",1040 A6,,,CHRYSLER,
VA0100914,1052 A,,601258,CHRYSLER,
VA0101341,1015 A,159 A,1109912,CHRYSLER,
VE0100329,1014 E,,954302,CHRYSLER,
VE0100333,21038 EGNC,1275 E,,CHRYSLER,
"VE0100333 0,076",21038 EGNC1,1275 E+3,,CHRYSLER,
"VE0100333 0,127 ",21038 EGNC2,1275 E+5,,CHRYSLER,
"VE0100333 0,254",21038 EGNC3,1275 E+10,,CHRYSLER,
"VE0100333 0,381",21038 EGNC4,1275 E+15,,CHRYSLER,
"VE0100333 0,508",21038 EGNC5,1275 E+20 ,,CHRYSLER,
"VE0100333 0,762",21038 EGNC6,1275 E+30,,CHRYSLER,
VE0100334,21063 EGNC,1297 EGX,,CHRYSLER,
"VE0100334 0,076",21063 EGNC1,1297 EGX+3,,CHRYSLER,
"VE0100334 0,127",21063 EGNC2,1297 EGX+5,,CHRYSLER,
"VE0100334 0,254",21063 EGNC3,1297 EGX+10,,CHRYSLER,
"VE0100334 0,381",21063 EGNC4,1297 EGX+15,,CHRYSLER,
"VE0100334 0,508",21063 EGNC5,,,CHRYSLER,
"VE0100334 0,762",21063 EGNC6,1297 EGX+30,,CHRYSLER,
VE0100340,21039 E,1280 E,3830705-2465339,CHRYSLER,
"VE0100340 0,076",21039 E1,1280 E+3,,CHRYSLER,
"VE0100340 0,127",21039 E2,1280 E+5,2465340,CHRYSLER,
"VE0100340 0,254",21039 E3,1280 E+10,,CHRYSLER,
"VE0100340 0,381",21039 E4,1280 E+15,2465341,CHRYSLER,
"VE0100340 0,508",21039 E5,1280 E+20,,CHRYSLER,
"VE0100340 0,762",21039 E6,1280 E+30,2465342,CHRYSLER,
VE0100341,21698 E,3471 ECP,4648613,CHRYSLER,
VE0100342,21699 E,3501 ECP,,CHRYSLER,
VE0100343,21905 E,3333 ECP,8933003860/3516-53010513AA,CHRYSLER,
"VE0100343 0,076",21905 E1,,,CHRYSLER,
"VE0100343 0,381",21905 E4,,,CHRYSLER,
"VE0100343 0,762",21905 E6,,,CHRYSLER,
VE0100910,21040 E,,2536979,CHRYSLER,
"VE0100910 0,127",21040 E2,,,CHRYSLER,
"VE0100910 0,381",21040 E4,,,CHRYSLER,
"VE0100910 0,762",21040 E6,,,CHRYSLER,
VE0100912,1015 E,,868553,CHRYSLER,
VE0100913,1052 E,,686928,CHRYSLER,
VE0100915,21915 E,3525 ECP,,CHRYSLER,
VE0100916,22003 E,,1852079,CHRYSLER,
VE0101244,21073 E,,71301597/3364,CHRYSLER,
"VE0101244 0,076",21073 E1,,71301598/3365,CHRYSLER,
"VE0101244 0,127",21073 E2,,,CHRYSLER,
"VE0101244 0,254",21073 E3,,,CHRYSLER,
"VE0101244 0,381",21073 E4,,,CHRYSLER,
VA0440551,1205 AGNC, 3301 AC,9153501780,CITROËN,
VA0440568,1206 A,3304 A ,96005391,CITROËN,
VA0440571,1215 A,,96172597,CITROËN,
VA0440572,1224 A,4034 AN,97531079,CITROËN,
VA0440574,1227 A,3842 A,96150145,CITROËN,
VA0440575,1228 A,4010 A ,96101886/96183535,CITROËN,
VA0440576,1230 A,3564 A,97327262,CITROËN,
VA0440577,1236 A,,93501279,CITROËN,
VA0440578,1423 A,3616 A,0948A9,CITROËN,
VA0440579,1424 A,3884 A,0948.99,CITROËN,
VA0441078,1420 A,3844 AC,0948.C2,CITROËN,
VA0660746,1001 A,,A-124-7a,CITROËN,
VA0660748,1059 A,,AYA-124-7,CITROËN,
"VA0660748 0,076",1059 A1,,,CITROËN,
"VA0660748 0,127",1059 A2,,,CITROËN,
VA0660750,1060 A,116 A,AM-124-111A,CITROËN,
"VA0660750 0,076",1060 A1,116 A+3,,CITROËN,
"VA0660750 0,127",1060 A2,116 A+5,,CITROËN,
VA0660752,1229 A,,95638449,CITROËN,
VA0661127,1043 A,,AZ-124-7,CITROËN,
VE0440283,21230 E,3565 ECB,96304239,CITROËN,
VE0440585,21205 E, 23301 ECB,9153501980,CITROËN,
VE0440586,21206 E, 3303 EC,96272853,CITROËN,
VE0440590,21215 E,,96172795,CITROËN,
VE0440593,21224 E,4035 EPN,97531046,CITROËN,
VE0440595,21227 E,3843 E,96150144,CITROËN,
VE0440596,21228 E,4011 ECB ,96101887,CITROËN,
VE0440598,21423 E,3617 ECBS,0949A8,CITROËN,
VE0440599,21424 E,3885 ECB,0949.99,CITROËN,
VE0441054,21420 E,3845 ECB,0949.B1,CITROËN,
VE0660749,21059 E,,AYA-124-8,CITROËN,
"VE0660749 0,076",21059 E1,,,CITROËN,
"VE0660749 0,127",21059 E2,,,CITROËN,
VE0660751,21060 E,1117 E,AM-124-8D,CITROËN,
"VE0660751 0,076",21060 E1,1117 E+3,,CITROËN,
"VE0660751 0,127",21060 E2,1117 E+5,,CITROËN,
VE0660753,21229 E,,95638450,CITROËN,
VE0661128,21043 E,,AZ-124-8,CITROËN,
VE0661245,21001 E,,AM-124-8b,CITROËN,
VA1911182,1110 A,,F6011302,CONTINENTAL,
"VA1911182 0,076",1110 A1,,,CONTINENTAL,
"VA1911182 0,381",1110 A4,,,CONTINENTAL,
VE1911183,21110 E,,F6011303,CONTINENTAL,
"VE1911183 0,076",21110 E1,,,CONTINENTAL,
"VE1911183 0,381",21110 E4,,,CONTINENTAL,
VA0210147,2005 A,420 A,135957,CUMMINS,
VA0210151,2078 A,3466 AC,3920867-3802355,CUMMINS,
VA0210153,2077 A,3334 AC,3924492-3802463,CUMMINS,
VA0210237,2106 A,,3418020-3068828-3800638,CUMMINS,
VA0210442,2074 A,3976 AC,3940735-3802924,CUMMINS,
VA0210444,2075 A,,3915506,CUMMINS,
VA0210445,2076 A,,3803360,CUMMINS,
VA0210446,2079 A,,3033234-3801356,CUMMINS,
VA0210967,2276 A,,3084045-3803854,CUMMINS,
VA0211371,2178 A,4024 AC,3942588-3800340,CUMMINS,
VA0211438,2107 A,,4059326 - 4965868,CUMMINS,
VC0210148,22205 AE,1420 EBS,145701,CUMMINS,
VC0210149,22005 AE,,3040830,CUMMINS,
VC0211248,22004 AE,1580 E,3275355,CUMMINS,
VC0211250,22104 AE,,3275356,CUMMINS,
VC0211251,3042 AE,,150288-68276,CUMMINS,
VE0210150,22078 E,3467 ECB,3920868-3802356,CUMMINS,
VE0210152,22177 E,3335 ECP,3921444-3802085,CUMMINS,
VE0210236,22106 E,,3418021-3070159-3800639,CUMMINS,
VE0210443,22074 E,3977 ECB,3940734-3802967,CUMMINS,
VE0211252,22076 E,,3070473-3803770,CUMMINS,
VE0211255,22079 E,,3818520-3801357,CUMMINS,
VE0211256,22105 E,,3226068,CUMMINS,
VE0211260,22276 E,3633 EBS,3800891-3166410,CUMMINS,
VE0211261,22279 E,,3895477,CUMMINS,
VE0211372,22178 E,4025 ECB,3942589-3800341,CUMMINS,
VE0211439,22107 E,,4101454,CUMMINS,
VA0211465,3041 A,,3803515,CUMMINS,
VE0211466,23041 E,,3803529,CUMMINS,
VA0211427,22178 A,,4089761,CUMMINS,
VA0950815,5102 A,3794 AN,,DAEWOO,
VA0951151,5100 A,,,DAEWOO,
VA0951152,5101 A,3816 AN,96182934,DAEWOO,
VE0951222,25102 E,3795 EBN,,DAEWOO,
VE0951263,25100 E,,,DAEWOO,
VE0951264,25101 E,3817 EPN,96182933,DAEWOO,
VA2020844,1085 A,455 A,13711-87701,DAIHATSU,
VA2020846,1520 A,,13711-87707,DAIHATSU,
VE2020845,21085 E,1455 ECP,13715-87701,DAIHATSU,
VE2020847,21520 E,,13715-87707,DAIHATSU,
VA3221207,1012 A,,10706300014,DE CARLO,
VE3221208,1012 E,,10706301034,DE CARLO,
VA0611265,2080 A,3446 AC,23501576-8929589,DETROIT DIESEL,
VC0611118,22219 AE,,8922516-5194968-23500501,DETROIT DIESEL,
VC0611119,22218 AE,,5109925-5197176,DETROIT DIESEL,
VC0611266,22018 AE,,5145172-5199323,DETROIT DIESEL,
VC0611267,22019 AE,,5114288-5195167,DETROIT DIESEL,
VC0611268,22022 AE,,5193666,DETROIT DIESEL,
VE0611270,22034 E,,8920914,DETROIT DIESEL,
VE0611272,22036 E,,5106136-5149771,DETROIT DIESEL,
VE0611273,22052 E,,5116137-5195948,DETROIT DIESEL,
VE0611275,22080 E,3445 ECB,23507504/6350,DETROIT DIESEL,
VA0500619,3023 A,,4231479,DEUTZ,
VA0500620,2028 A,282 A,2402585-ED-014708,DEUTZ,
VA0500620+08,2028 A+08,282 A+0.8,,DEUTZ,
VA0500622,22299 A,,4006053EC014808,DEUTZ,
VA0500626,23036 A,1556 ACB,4153631EB015508,DEUTZ,
VA0500626+04,23036 A+04,1556 ACB+0.4,,DEUTZ,
VA0500626+08,23036 A+08,1556 ACB+0.8,,DEUTZ,
VA0500629,23037 A,,3027163EE015508,DEUTZ,
VA0500629+04,23037 A+04,1556 ACB+0.4,,DEUTZ,
VA0500629+08,23037 A+08,,,DEUTZ,
VA0500631,23136 A,1556 ACB (30º),4153455EB015508,DEUTZ,
VA0500631+04,23136 A+04,1556 ACB (30º)+0.4,,DEUTZ,
VA0500631+08,23136 A+08,1556 ACB (30º)+0.8,,DEUTZ,
VA0500633,23236 A,,4159136EB015508,DEUTZ,
VA0500634,23336 A,1557 ACB 30°,4159140EB015508,DEUTZ,
VA0500634+04,23336 A+04,1557 ACBS+0.4 30°,,DEUTZ,
VA0500634+08,23336 A+08,1557 ACBS+0.8 30°,,DEUTZ,
VA0500636,3009 A,504 A,E0154084233,DEUTZ,
VA0500638,3010 A,506 A,E0152084621,DEUTZ,
VA0500640,3011 A,508 A,E01440820004,DEUTZ,
VA0500640+08,3011 A+08,508 A+0.8,,DEUTZ,
VA0500642,3034 A,549 A,20458ED015208,DEUTZ,
VA0500642+08,3034 A+08,549 A+0.8,,DEUTZ,
VA0500643,3035 A,1555 ACB,2137457ED015508,DEUTZ,
VA0500643+04,3035 A+04,1555 ACB+0.4,,DEUTZ,
VA0500643+08,3035 A+08,1555 ACB+0.8,,DEUTZ,
VA0500644,3135 A,1557 ACB,4159138EB015508,DEUTZ,
VA0500644+08,3135 A+08,,,DEUTZ,
VA0501050,22099 A,,3025936ED014808,DEUTZ,
VA0501051,23006 A,,4220143 - 4268371,DEUTZ,
VA0501052,23035 A,,4153629,DEUTZ,
VA0501391,3004 A,4014 AC,04283380EA013108,DEUTZ,
VE0500621,22028 E,1282 ECS,2409416ED14708,DEUTZ,
VE0500621+08,22028 E+08,1282 ECS+0.8,,DEUTZ,
VE0500623,22299 E,,4006054EC014808,DEUTZ,
VE0500624,23034 E,1549 ECP,20460ED015208,DEUTZ,
VE0500624+08,23034 E+08,1549 ECP+0.8,,DEUTZ,
VE0500625,23035 E,1555 ECB,4153696EB015508,DEUTZ,
VE0500625+04,23035 E+04,1555 ECB+0.4,,DEUTZ,
VE0500625+08,23035 E+08,1555 ECB+0.8,,DEUTZ,
VE0500627,23036 E,1556 ECB,4153697EB015508,DEUTZ,
VE0500627+04,23036 E+04,1556 ECB+0.4,,DEUTZ,
VE0500627+08,23036 E+08,1556 ECB+0.8,,DEUTZ,
VE0500630,23135 E,,4159137EB015508,DEUTZ,
VE0500630+08,23135 E+08,,,DEUTZ,
VE0500632,23136 E,1557 ECBS,4159139EB015508,DEUTZ,
VE0500632+04,23136 E+04,1557 ECBS+0.4,,DEUTZ,
VE0500632+08,23136 E+08,1557 ECBS+0.8,,DEUTZ,
VE0500635,23336 E,,4159141EB015508,DEUTZ,
VE0500637,3009 E,505 E,E0154084234,DEUTZ,
VE0500639,3010 E,507 E,E0152081325,DEUTZ,
VE0500641,3011 E,509 E,E01440820003,DEUTZ,
VE0500641+08,3011 E+08,509 E+0.8,,DEUTZ,
VE0501055,22099 E,,3025937ED014808,DEUTZ,
VE0501056,23006 E,,4220142,DEUTZ,
VE0501370,23005 E,,04902044 - 4228253,DEUTZ,
VE0501392,23004 E,4015 ECB,04283381EA013108,DEUTZ,
VA0501692,23424 A,,4131197,DEUTZ,
VA0501619,23410 A,,4124018,DEUTZ,
VE0501620,23410 E,,4124019,DEUTZ,
VA0501652,23414 A,,4131597,DEUTZ,
VE0501653,23414 E,,4131598,DEUTZ,
VA3230877,1013 A,,137515,DI TELLA,
VA3230877+1,1013 A+1,,,DI TELLA,
VA3231209,1062 A,,137548,DI TELLA,
VE3230878,21013 E,,137516,DI TELLA,
VE3230878+1,21013 E+1,,,DI TELLA,
VE3230879,21062 E,,137563,DI TELLA,
VA0250002,6001 A,380 AC,4340118,FIAT,
VA0250018,1162 A,3234 AC,46470637-46559031,FIAT,
VA0250052,21153 AGNC,3320 AC,7722907,FIAT,
VA0250054,1667 AGNC,856 AC,7617500,FIAT,
VA0250060,1066 AGNC,,4239917-4460697,FIAT,
VA0250159,1166 A,1826 AC,7547400,FIAT,
VA0250160,1264 A,3600 AC,7735898,FIAT,
VA0250162,6002 AGNC,3800 AC,46553046,FIAT,
VA0250165,1163 AGNC,3514 AC,46517325,FIAT,
VA0250166,6003 AGNC,3558 AC,46553048,FIAT,
VA0250271,6004 A,3956 AC,55205734,FIAT,
VA0250463,1068 AGNC,281 AC,4255779,FIAT,
VA0250465,1666 AGNC,855 AC,7609772,FIAT,
VA0250467,1017 A,167 A,4064701-4132958,FIAT,
VA0250469,1018 A,170 A,4015440,FIAT,
VA0250471,1042 A,172 A,4080364,FIAT,
VA0250473,1056 A,169 A,4121897,FIAT,
VA0250475,1067 A,174 A,4127674,FIAT,
VA0250477,1076 A,176 AC,4265695,FIAT,
VA0250481,1265 A,,7712114,FIAT,
VA0250495,21077 A,,4300760,FIAT,
VA0250498,21164 A,3384 ACS,7547158,FIAT,
VA0250500,21167 A,3316 AC,60808694,FIAT,
VA0250503,21267 A,3584 ACBS,7798620,FIAT,
VA0250506,21706 A,1828 AC,4424173,FIAT,
VA0250519,3012 A,513 A,561286,FIAT,
VA0250522,3014 A,517 A,555324,FIAT,
VA0250522+08,3014 A+08,517 A+0.8,,FIAT,
VA0250524,3015 A,521 A,580605,FIAT,
VA0250524+08,3015 A+08,521 A+0.8,,FIAT,
VA0250526,3018 A,,4621511,FIAT,
VA0250527,3021 A,540 A,8504782,FIAT,
VA0250529,3022 A,538 A,109443,FIAT,
VA0250531,3025 A,544 A,8300314,FIAT,
VA0250533,3026 A,523 A,8806875,FIAT,
VA0250536,3031 A,547 A,8824754,FIAT,
VA0250536+08,3031 A+08,547 A+0.8,,FIAT,
VA0250538,3032 A,519 A ,8823545-8823548,FIAT,
VA0250538+08,3032 A+08,519 A +0.8,,FIAT,
VA0250973,1016 A,,974776,FIAT,
VA0250979,6502 A,,4412816,FIAT,
VA0251433,6103 A,3998 AC,55185028,FIAT,
VE0250001,26001 E,1380 EC,59852970,FIAT,
VE0250019,21162 E,,46470638-7633752,FIAT,
VE0250051,21153 EGNC,3321 ECB,,FIAT,
VE0250053,21266 EGNC,1175 ECSS,5973128,FIAT,
VE0250059,21089 EGNC,1383 EC,,FIAT,
VE0250158,21165 E,1826 ECB,7597080,FIAT,
VE0250161,21264 E,3601 ECBS,7735899,FIAT,
VE0250163,26003 E,3559 ECB,46553049,FIAT,
VE0250164,21163 EGNC,3515 EC,46761370-46461209,FIAT,
VE0250166,26002 E,3801 EC,46553047,FIAT,
VE0250167,26002 EGNC,,,FIAT,
VE0250169,21144 E,3737 ECBS,60811154,FIAT,
VE0250272,26004 E,3997 ECB,55195498,FIAT,
VE0250464,21068 EGNC,1281 EG,,FIAT,
VE0250468,21017 E,1168 E,4064702,FIAT,
VE0250470,1018 E,171 E,4015441,FIAT,
VE0250472,21042 E,1173 E,4094908,FIAT,
VE0250474,21056 E,1169 E,4121898,FIAT,
VE0250476,21067 E,1174 E,4127675,FIAT,
VE0250478,21076 E,1177 EC,4377979,FIAT,
VE0250480,21166 E,1382 EC,5975341,FIAT,
VE0250482,21265 E,,46423334,FIAT,
VE0250493,21066 E,1175 EC,4250440,FIAT,
VE0250494,21068 E,1281 EC,4359309,FIAT,
VE0250496,21089 E,1383 EC,5973129,FIAT,
VE0250497,21153 E,3321 ECB,7574742,FIAT,
VE0250499,21164 E,3385 ECS,7588577,FIAT,
VE0250501,21167 E,3317 EC,60808695,FIAT,
VE0250502,21176 E,,4266321,FIAT,
VE0250504,21267 E,3585 ECBS,7783225,FIAT,
VE0250507,21706 E,1828 EC,4424174,FIAT,
VE0250515,23018 E,,4673608,FIAT,
VE0250517,23031 E,,7110829-8830045,FIAT,
VE0250517+08,23031 E+08,,,FIAT,
VE0250518,26003 EGNC,,,FIAT,
VE0250520,3012 E,514 E,576457,FIAT,
VE0250521,3013 E,516 E,539715,FIAT,
VE0250523,3014 E,515 A,555325,FIAT,
VE0250523+08,3014 E+08,518 E+0.8,,FIAT,
VE0250525,3015 E,522 E,580606,FIAT,
VE0250525+08,3015 E+08,522 E+0.8,,FIAT,
VE0250528,3021 E,541 E,8504783,FIAT,
VE0250530,3022 E,539 E,109442,FIAT,
VE0250532,3025 E,545 E,8300387,FIAT,
VE0250534,3026 E,524 E,8806876,FIAT,
VE0250535,3029 E,520 E ,8823544,FIAT,
VE0250535+08,3029 E+08,520 E +0.8,,FIAT,
VE0250537,3031 E,548 E,8825776,FIAT,
VE0250537+08,3031 E+08,548 E+0.8,,FIAT,
VE0250992,21016 E,,974767,FIAT,
VE0250995,21262 E,23234 EC,46559032,FIAT,
VE0251434,26103 E,3999 ECB,55185080,FIAT,
VE0251435,26104 E,3957 ECB,55203211,FIAT,
VA0251610,6005 A,,55224590,FIAT,
VE0251611,26005 E,,55231699,FIAT,
VA0251614,6311 A,,7085036,FIAT,
VE0251615,26411 E,,7085037,FIAT,
VA0140086,1311 AGNC,3146 AC,7083246,FIAT,
VE0140370,21311 EGNC,3147 ECB,7083242,FIAT,
VA0251632,6006 A,4156 AC,55240709,FIAT,
VA0251633,6106 A,4256 AC,55219002,FIAT,
VE0251476,26006 E,4257 EC,55218807,FIAT,
VA0130011,6151 A, 565 AC,9.2260.460.0054,FORD,
VA0210151,2078 A,3466 AC,3920867-3802355,FORD,
VA0210153,2077 A,3334 AC,3924492-3802463,FORD,
VA0441078,1420 A,3844 AC,0948.C2,FORD,
VA0570033,2015 A,250 A,0910030-0910069,FORD,
VA0570111,22031 A,1498 ACP,70910011,FORD,
VA0570231,2310 A,3858 ACB ,70910081,FORD,
VA0570250,22101 A,3344 ACB,70910053,FORD,
VA0590043,6069 AGNC,3036 A,84AU-6507-A,FORD,
VA0590044,1187 A,814 AC,84AU-6507-B,FORD,
VA0590066,1204 AGNC,3312 A,035 109 601 G,FORD,
VA0590067,1134 AGNC,3602 A,026 109 601-D,FORD,
VA0590094,6052 A,,78MU-6507-A,FORD,
VA0590170,1136 A,3062 AC,XS6E-6507-AA,FORD,
VA0590172,1132 A,3054 AC,89BM-6507BA,FORD,
VA0590174,1566 A,3092 AC,YS4E-6507-AB,FORD,
VA0590179,1137 AGNC,3064 AC,97MM-6507-B2B,FORD,
VA0590180,1233 AGNC,3066 AC,928M-6507-F2A,FORD,
VA0590181,1232 A,3052 AC,89BM-6507AA,FORD,
